Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Russia,01-01-2000,-37.8,-41.5,-39.8,0,6.5,12.2,0
Russia,02-01-2000,-42.1,-49.5,-46.9,0,8.1,12.2,8916.19
Russia,03-01-2000,-46.9,-49.6,-48.5,0,9.1,14,8910.95
Russia,04-01-2000,-48.1,-51.4,-50.2,0,9.1,15.1,9684.67
Russia,05-01-2000,-48.5,-51.9,-50.4,0,10.2,17.6,9981.81
Russia,06-01-2000,-47.4,-51.4,-50,0,8,13.7,10244.5
Russia,07-01-2000,-45.7,-51.5,-48.5,0,9.7,18,10553.26
Russia,08-01-2000,-33,-45.6,-39.6,0,13.4,27.7,0
Russia,09-01-2000,-32.3,-36.6,-34,0,11.1,23.8,9592.99
Russia,10-01-2000,-37.2,-40.1,-39.2,0,8.7,14.4,8807.7
Russia,11-01-2000,-27.3,-41,-35.5,0,11.6,22.7,0
Russia,12-01-2000,-18.2,-26.7,-22.1,0,9.7,18,0
Russia,13-01-2000,-17.1,-18.5,-18,0,13,25.9,3118.94
Russia,14-01-2000,-15.8,-20.3,-17.2,0,13.8,29.9,0
Russia,15-01-2000,-21.7,-29.1,-25.2,0,12.5,23.8,13870.76
Russia,16-01-2000,-19.8,-22.8,-21.3,0,11.5,20.5,422.18
Russia,17-01-2000,-19.8,-21.9,-20.7,0,13.2,25.6,6549.97
Russia,18-01-2000,-22.4,-32.7,-27.6,0,12.1,23.8,14897.3
Russia,19-01-2000,-28.8,-33.1,-30.8,0,9.2,17.6,0
Russia,20-01-2000,-30.1,-38.4,-34.6,0,8,13,15564.89
Russia,21-01-2000,-38.4,-42.7,-40.6,0,6.3,10.1,15973.23
Russia,22-01-2000,-30.5,-42.7,-37.9,0,15.9,28.8,16382.3
Russia,23-01-2000,-22.1,-29.9,-25.6,0,16.5,32,16179.65
Russia,24-01-2000,-22.6,-27.9,-26,0,15.1,30.2,17209.73
Russia,25-01-2000,-24.2,-28.9,-26.5,0,15.5,29.2,17626.62
Russia,26-01-2000,-18,-25.8,-21,0,15.3,30.6,10276.65
Russia,27-01-2000,-17.5,-22.2,-18.8,0,14.7,32.8,2328.89
Russia,28-01-2000,-22.5,-26.6,-25.2,0,13,23,18882.58
Russia,29-01-2000,-18.8,-26.1,-22.7,0,17,32.8,19459.37
Russia,30-01-2000,-14.6,-18.6,-16.9,0,19.3,38.5,19818.27
Russia,31-01-2000,-16.9,-19.8,-18.4,0,12.5,23.4,11489.09
